ts,rg1,rg2,rg1tt,rg2tt,rg1tp,rg2tp,temp_bmx,press_bmx,temp_mcp,temp_sht,humidity_sht,si1145_vis,si1145_ir,si1145_uv,wind_spd,wind_dir,wind_gust,wind_gust_dir,heat_idx,wet_bulb_temp,wet_bulb_globe_temp
2026-09-01T00:00:08Z,0,0,0,0,0.4,0,15.1,852.7,15.5,15.5,88.1,261,253,0,0.1,109,0.4,0.4,15.5,14.1,11.3
2026-09-01T00:15:17Z,0,0,0,0,0.4,0,15.3,852.6,15.7,15.7,87.5,260,253,0,0.1,109,0.7,0.7,15.7,14.3,11.5
2026-09-01T00:30:27Z,0,0,0,0,0.4,0,15.5,852.5,15.8,15.9,88,260,253,0,0.3,109,0.9,0.9,15.8,14.5,11.6
2026-09-01T00:45:36Z,0,0,0,0,0.4,0,15.5,852.8,15.8,15.9,88.6,260,253,0,0.6,109,1.1,1.1,15.9,14.6,11.7
2026-09-01T01:01:03Z,0,0,0,0,0.4,0,15.4,852.8,15.7,15.8,89.4,259,254,0,0.2,109,0.7,0.7,15.8,14.6,11.6
2026-09-01T01:16:12Z,0,0,0,0,0.4,0,15.3,852.9,15.6,15.7,90,260,253,0,0,109,0.2,0.2,15.7,14.5,11.5
2026-09-01T01:31:58Z,0,0,0,0,0.4,0,15.2,852.9,15.6,15.6,90.2,259,254,0,0.1,109,0.2,0.2,15.6,14.5,11.4
2026-09-01T01:47:23Z,0,0,0,0,0.4,0,15.2,852.9,15.5,15.6,90.4,260,253,0,0,109,0,0,15.6,14.5,11.4
2026-09-01T02:02:32Z,0,0,0,0,0.4,0,15.3,853,15.6,15.7,90.3,262,254,0,0,109,0,0,15.7,14.5,11.5
2026-09-01T02:18:32Z,0,0,0,0,0.4,0,15.2,853,15.6,15.6,90.3,259,253,0,0,109,0,0,15.6,14.5,11.4
2026-09-01T02:33:41Z,0,0,0,0,0.4,0,15.2,853.2,15.4,15.6,90.4,261,255,0,0.4,109,0.7,0.7,15.6,14.5,11.4
2026-09-01T02:48:51Z,0,0,0,0,0.4,0,15.1,853.4,15.4,15.6,90.4,261,253,0,0.4,109,0.9,0.9,15.5,14.4,11.3
2026-09-01T03:04:00Z,0,0,0,0,0.4,0,15,853.5,15.2,15.5,90.4,259,254,0,0.7,109,1.3,1.3,15.5,14.4,11.3
2026-09-01T03:19:30Z,0,0,0,0,0.4,0,14.8,853.6,15.1,15.3,90.8,262,256,0,0.4,109,0.9,0.9,15.2,14.2,11.1
2026-09-01T03:34:39Z,0,0,0,0,0.4,0,14.8,854,15.1,15.2,90.9,262,285,0,0.1,109,0.9,0.9,15.2,14.2,11
2026-09-01T03:49:48Z,0,0,0,0.1,0.4,0,14.8,853.9,15.1,15.3,90.9,269,364,0,0.3,109,0.7,0.7,15.2,14.2,11
2026-09-01T04:04:56Z,0,0,0,0.2,0.4,0,14.9,854,15.2,15.3,90.1,304,799,0,1,109,1.3,1.3,15.3,14.2,11.1
2026-09-01T04:20:05Z,0,0,0,0.4,0.4,0,15.2,854.1,15.5,15.6,88.4,333,1121,0,0.9,108,1.1,1.1,15.5,14.2,11.3
2026-09-01T04:35:28Z,0,0,0,0.3,0.4,0,15.5,854.4,15.8,15.9,86.6,318,906,0,0.6,109,0.9,0.9,15.9,14.4,11.7
2026-09-01T04:50:37Z,0,0,0,0.3,0.4,0,15.5,854.7,15.7,16,86.8,314,853,0,0.1,109,0.4,0.4,15.9,14.4,11.7
2026-09-01T05:06:34Z,0,0,0,0.6,0.4,0,16,854.9,16.2,16.4,85.2,359,1382,0,0.5,109,0.9,0.9,16.4,14.7,12.1
2026-09-01T05:21:42Z,0,0,0,1.2,0.4,0,17.4,855.1,17.2,17.4,80.8,479,2833,0,1.3,108,2,2,17.3,15.1,13.1
2026-09-01T05:36:51Z,0,0,0,1.5,0.4,0,19.2,855.3,19.4,19.1,74.4,544,3556,0,0,109,0.1,0.1,19.1,16,14.7
2026-09-01T05:51:59Z,0,0,0,2.2,0.4,0,20.3,855.3,20.6,20.5,69.5,678,5173,0,0.3,109,1,1,20.5,16.7,16
2026-09-01T06:07:08Z,0,0,0,1.3,0,0,19.8,855.5,20.4,20.3,67.1,506,2995,0,0.5,109,2.2,2.2,20.2,16.2,15.7
2026-09-01T06:22:32Z,0,0,0,0.9,0,0,19.1,855.5,19.6,19.6,68.9,432,2174,0,0.4,109,1.1,1.1,19.5,15.8,15.1
2026-09-01T06:37:41Z,0,0,0,1.1,0,0,18.9,855.6,19.1,18.9,68.1,469,2590,0,0.1,109,0.4,0.4,18.8,15,14.5
2026-09-01T06:52:50Z,0,0,0,0.9,0,0,19.5,855.6,19.6,19.7,67.4,417,2034,0,0.1,109,0.7,0.7,19.6,15.7,15.2
2026-09-01T07:07:58Z,0,0,0,1.2,0,0,19.4,855.5,19.9,20,64.2,482,2720,0,0.9,109,1.5,1.5,19.9,15.6,15.4
2026-09-01T07:23:07Z,0,0,0,1.1,0,0,19.3,855.5,19.7,19.8,65.4,463,2521,0,0.8,168,1.7,1.7,19.7,15.5,15.3
2026-09-01T07:38:35Z,0,0,0,1.4,0,0,20.3,855.5,20.6,20.5,63.6,519,3136,0,0.8,258,1.7,1.7,20.4,15.9,15.9
2026-09-01T07:53:43Z,0,0,0,1.8,0,0,20.1,855.4,20.4,20.1,65.1,587,3817,0,0.5,238,1.1,1.1,20,15.8,15.6
2026-09-01T08:08:53Z,0,0,0,0.9,0,0,19.8,855.2,20.1,20.1,63.2,422,2010,0,0.7,113,1.1,1.1,19.9,15.5,15.5
2026-09-01T08:24:02Z,0,0,0,1.6,0,0,20.1,855,20.5,20.5,62.7,564,3498,0,0.2,204,0.7,0.7,20.4,15.8,15.9
